Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
400,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
401,,,,,,Exposure - Total,1.20.0,December 2025
402,,,,,,Exposure - Area,1.20.0,December 2025
403,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
404,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
405,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
406,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
407,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
408,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
409,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
410,,,,,,Expected Annual Loss Score,1.20.0,December 2025
411,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
412,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
413,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
414,,,,,,National Percentile,1.20.0,December 2025
415,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
416,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
417,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
418,,,,,,Number of Events,1.20.0,December 2025
419,,,,,,Annualized Frequency,1.20.0,December 2025
420,,,,,,Exposure - Building Value,1.20.0,December 2025
421,,,,,,Exposure - Population,1.20.0,December 2025
422,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
423,,,,,,Exposure - Agriculture Value,1.20.0,December 2025
424,,,,,,Exposure - Total,1.20.0,December 2025
425,,,,,,Exposure - Area,1.20.0,December 2025
426,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
427,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
428,,,,,,Historic Loss Ratio - Agriculture,1.20.0,December 2025
429,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
430,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
431,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
432,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
433,,,,,,Expected Annual Loss - Agriculture Value,1.20.0,December 2025
434,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
435,,,,,,Expected Annual Loss Score,1.20.0,December 2025
436,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
437,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
438,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
439,,,,,,Expected Annual Loss Rate - Agriculture,1.20.0,December 2025
440,,,,,,National Percentile,1.20.0,December 2025
441,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
442,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
443,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
444,,,,,,Number of Events,1.20.0,December 2025
445,,,,,,Annualized Frequency,1.20.0,December 2025
446,,,,,,Exposure - Building Value,1.20.0,December 2025
447,,,,,,Exposure - Population,1.20.0,December 2025
448,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
449,,,,,,Exposure - Agriculture Value,1.20.0,December 2025
450,,,,,,Exposure - Total,1.20.0,December 2025
451,,,,,,Exposure - Area,1.20.0,December 2025
452,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
453,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
454,,,,,,Historic Loss Ratio - Agriculture,1.20.0,December 2025
455,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
456,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
457,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
458,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
459,,,,,,Expected Annual Loss - Agriculture Value,1.20.0,December 2025
460,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
461,,,,,,Expected Annual Loss Score,1.20.0,December 2025
462,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
463,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
464,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
465,,,,,,Expected Annual Loss Rate - Agriculture,1.20.0,December 2025
466,,,,,,National Percentile,1.20.0,December 2025
467,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
468,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
469,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
470,,,,,,n/a,1.20.0,December 2025
471,,,,,,n/a,1.20.0,December 2025
472,,,,,,n/a,1.20.0,December 2025
473,,,,,,n/a,1.20.0,December 2025
474,,,,,,n/a,1.20.0,December 2025
475,,,,,,n/a,1.20.0,December 2025
476,,,,,,n/a,1.20.0,December 2025
477,,,,,,n/a,1.20.0,December 2025
478,,,,,,n/a,1.20.0,December 2025
479,,,,,,n/a,1.20.0,December 2025
